Square Meters,Year Built,Neighborhood Quality,Distance to Amenities,Number of Rooms,Lot Size,House Style,Local Economic Index,House Price
250.98076641273116,1987,Medium,190.55387225011447,2,1856.8572864372286,Single Family,76.39985814648254,4387.368977143033
252.84306985548065,1989,Low,73.41634152387064,6,1967.8149611871554,Single Family,49.53611231677287,3172.937105274231
277.9498604596482,1986,Medium,390.2654742544464,2,1189.1248505580795,Condo,87.58714973192598,2761.9976577876855
260.9765155225627,1981,Medium,431.95178611870824,6,1408.8386572897446,Condo,78.100413504012,3215.3210690028254
230.04432579613703,1992,Medium,173.03766845584988,6,1925.6996773559872,Condo,79.76872447181609,2483.09137544781
258.00651770505715,2001,Low,136.66351305659532,7,1400.5354980609136,Single Family,90.56428731120509,3414.411144535817
259.93333345571847,1982,Low,355.3577664542033,6,1332.2179303599646,Condo,45.674129149605974,1200.2236588635362
260.20002599277876,1984,Medium,77.14047556201729,2,1503.8746517119214,Single Family,55.576894678470325,1569.2680429757004
246.6298536706843,1996,High,434.84522121025043,2,1408.909592107888,Single Family,82.94676254041529,239.08067942977004
259.7475676675444,1998,Medium,379.5718259564042,6,1362.6878605015975,Single Family,60.41343688259569,2503.308804508905
268.0501911318893,2001,Medium,466.73143025641025,4,1354.458841913904,Condo,44.757804210271246,2474.893271946198
252.41775066005576,1999,Medium,422.2173819903668,4,1426.149337764499,Townhouse,112.03438647553003,3086.487967177941
237.29958838007295,1998,Medium,360.80400426765067,9,1326.3417842798026,Condo,101.24885065456401,2387.9050581501233
254.61042409818103,1996,Medium,223.48137950279767,5,1726.7770891157895,Single Family,29.557633116708992,1692.7480861094814
244.7829754000042,2003,High,228.12935586263637,6,1501.2165229082702,Single Family,74.55204629976882,2871.5092101313103
258.60471062277327,1988,Medium,572.0154565338979,5,1425.056356497539,Townhouse,75.79956949117016,2039.8567367984238
234.8582941937255,2006,Low,344.491977829779,8,1276.4441937572665,Single Family,71.51097314927229,3757.7256561989034
244.47245578592285,1987,High,228.81343921206025,1,1606.6227036089963,Condo,49.615419393911935,2928.706024828351
240.77101979925237,1982,Low,383.214416390745,5,1726.0536820887219,Condo,71.60622203532648,2181.329148350904
270.0550194950009,1992,High,221.76238147618056,7,1545.7032182950752,Condo,57.83970705086628,1888.6782856280092
