Square Meters,Year Built,Neighborhood Quality,Distance to Amenities,Number of Rooms,Lot Size,House Style,Local Economic Index,House Price
255.80586579135237,1958,Low,314.05891486663023,4,500.4535194163648,Condo,126.05687883119212,1548.7449874991437
230.34909812943738,1961,Low,300.0187606230366,1,774.909293461384,Townhouse,130.69345507107704,3574.2962345301585
242.8076822377647,1944,High,551.9713171299983,1,469.3049469399343,Condo,141.44603160246893,3587.9488377718753
224.65576640760528,1966,High,175.3602926886042,0,111.61069603128476,Condo,143.496313617222,1247.548960793094
219.9653959861862,1972,Medium,40.43771570728404,5,321.59691548139176,Condo,177.47748596132593,3329.59526720569
230.90154369677367,1944,High,264.1796894850773,2,760.1913742114361,Condo,125.36890348055121,1405.7062339009494
234.57317400319664,1961,Medium,601.2706253238057,3,927.6034287929181,Condo,113.67299003074032,4114.5411579028805
232.1971174114119,1954,Low,420.803826406805,5,799.7223047663891,Condo,112.27412257935674,2291.918701765114
213.9328659905867,1935,High,478.4149319977328,4,363.5734648145942,Single Family,153.30882305263123,3601.073618726848
240.60137893041582,1931,Low,359.34096320687814,3,375.3854618716408,Townhouse,131.5679867505937,5366.030955243336
220.67153248321642,1957,Medium,429.9533982271837,6,600.0334284734247,Condo,141.68498192921166,3932.3247492095397
227.19312154093242,1961,Low,370.3680509916377,0,271.33118202745635,Condo,64.39730167151765,3772.3638369722867
233.58095335655594,1943,High,474.8344566122356,4,344.961257281783,Condo,78.41671957657643,1476.3115803559017
234.55171428112706,1968,Low,232.50803174073872,4,1171.402139729209,Single Family,137.9726068378764,3106.1538842217874
223.81159595289924,1967,Low,249.7904780181372,2,75.18330984088317,Condo,100.63930755779586,1540.78850029008
235.299479031745,1963,High,380.5878610649898,3,238.78400101358244,Townhouse,103.65623955358242,3838.636055869443
249.3478365562464,1973,Medium,264.2938431463389,6,708.5809462053703,Single Family,122.21783404210014,4024.1888353497975
245.233256741751,1948,Low,270.95751928478313,1,676.0753792320678,Condo,107.58173182536864,2058.6516030744083
227.41552407244077,1952,High,618.7163826524475,2,1203.350570920219,Single Family,144.55364624517412,3570.583963046062
243.7542794061733,1932,Medium,27.80637193151506,4,795.6602737993751,Condo,133.78043032531576,1072.4287399657878
238.29269018064866,1971,Low,220.29038878071003,0,627.4738417423011,Single Family,143.50285217945907,3793.3148825933204
218.1431487549291,1945,Low,592.4561655892389,3,-77.02809747555182,Single Family,150.61908482193672,2043.020064733706
243.89160156729346,1950,High,289.35358440045826,0,631.9294832674939,Single Family,134.0258577178161,3372.502119033099
241.35916920456023,1945,High,469.99839431709324,3,55.050098829702506,Condo,119.56199428070069,1930.3009079408746
213.74348905059605,1951,Medium,168.82829341928368,5,194.33122672482233,Condo,169.27892324660652,1612.93017705703
