Square Meters,Year Built,Neighborhood Quality,Distance to Amenities,Number of Rooms,House Style,Local Economic Index,House Price
183.0707961429744,2010,Low,589.4565197186485,2,Condo,32.6197455911366,2659.782876191415
154.8712347427454,2008,Low,700.1877954869342,4,Condo,92.66166671311836,2317.037390425526
178.28958201892644,2010,Low,614.0518627298508,5,Townhouse,74.96867529512039,2842.973558737293
175.8519202007785,2007,Low,417.8154441341492,4,Townhouse,21.84672981471634,671.911340684663
168.57849537000823,2004,Medium,766.4194510032935,1,Single Family,66.12832135107665,2592.954566204539
179.7417600988411,2015,Low,781.2891214561967,4,Condo,95.49290073702144,2332.4497785421395
210.38944680879752,2002,Low,448.2633305238328,3,Single Family,56.4918088183178,2107.855284006322
211.340655568007,2007,Medium,703.7111773797155,2,Condo,104.04057540842766,1001.6759493302075
191.6675192284174,2009,Medium,691.6750102120593,3,Condo,70.82978026150366,2144.8269444181797
177.0048167822228,2014,Medium,547.6057089288314,4,Single Family,74.35984727170353,466.3040703061522
179.35043400426798,2009,High,803.5768201236119,1,Condo,92.10736463519953,3888.33729518821
185.91910641324606,2017,Medium,295.1461436897904,3,Single Family,84.11182247194675,1121.6566497752603
194.58396273185528,2003,Low,423.5787616105635,3,Townhouse,60.077912562140575,3513.5129220435274
228.02583161159455,2003,Low,409.3947734884425,3,Single Family,39.166770851675196,1803.390379514669
108.21534759393839,2010,Low,419.231183600489,5,Single Family,79.67253066432775,2615.900031533367
189.14357660719512,2010,High,599.5881849464719,3,Townhouse,54.42841593181416,3514.9027494041343
143.19260401053316,2016,Low,317.535658438636,5,Single Family,41.25680098867019,2575.5440969520328
180.81104695971396,2005,Medium,233.77273339112406,3,Condo,52.11720408781288,3309.551930784584
192.8134406892239,2008,Medium,343.11409721088825,0,Single Family,102.03843451350299,2265.8648069649425
199.92619499530136,2010,Low,887.6875033718231,4,Townhouse,79.98463422718012,2739.4831218755044
169.90927871192073,2010,High,796.4402834666214,4,Condo,75.16434410201846,2381.1556069552125
198.3686050820416,2011,Low,520.2126992000324,1,Single Family,63.49502099432195,3235.674801251954
203.51094936251764,2006,Medium,257.244207272945,5,Condo,29.433316793976815,2586.0571226488064
189.24407994985353,2011,Low,396.69566355494624,1,Single Family,53.73072919383727,2321.7785156373398
202.325392555389,2006,High,867.9529857592356,4,Condo,97.99193856696226,2077.3543733441284
200.3238190052582,2008,High,257.4979937428836,4,Single Family,91.99658831879773,3228.2511034875
